web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image
"1776069304-1","https://www.kikidrop.com/en/list","Burger King Gabode","Gabode","40 mins","12.65 Km","11:00 -  22:30","4.2","","Sponsored","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-2yhnpyl9E5qCTz1753614978253-LOGO20BK.avif"
"1776069304-2","https://www.kikidrop.com/en/list","Hummus Republic-cuisine Libanaise","djibouti","50 mins","13.83 Km","11:00 -  14:59","4.6","","Sponsored","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-i1klmqkj6h5wU41667752394522-Copy20of20qr20code20resto20tables20201.jpg"
"1776069304-3","https://www.kikidrop.com/en/list","Sushi-Do","Aviation","55 mins","14.51 Km","11:00 -  14:00","4.5","","Sponsored","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-k6d563bxrkB1yL1666286473411-70C36BA8F065433C811BF97E9F20A0F4.jpeg"
"1776069304-4","https://www.kikidrop.com/en/list","Ximi V","Djibouti","35 mins","1.52 Km","09:00 -  13:30","4.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-819ffwikhkb5f71759316329565-XimiVIcon.avif"
"1776069304-5","https://www.kikidrop.com/en/list","BricoCoeur","djibouti","1 Day","10.98 Km","08:00 -  21:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-m9d3rizmyfGOby1756193974136-WhatsApp20Image202025082320at2014.23.12.avif"
"1776069304-6","https://www.kikidrop.com/en/list","Coastal Palm Restaurant","Rue de venise waafi residence","50 mins","11.16 Km","","3.7","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-7h5xrvb7thkrHA1756541904000-CoastalPalmRestaurant201.avif"
"1776069304-7","https://www.kikidrop.com/en/list","NANGADEF","cité progré devant école lumiére","1 hr, 5 mins","11.36 Km","11:00 -  17:00","4.2","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-i42loirpqevFCl1641733840600-Nangadef5B205565D.jpg"
"1776069304-8","https://www.kikidrop.com/en/list","Mon secret indien","Ambouli","35 mins","11.48 Km","08:30 -  22:30","4.1","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-5isxaqv0R2bj3M1732953762849-AppIcons.jpg"
"1776069304-9","https://www.kikidrop.com/en/list","MR VAPOUR","ambouli","36 mins","11.66 Km","08:00 -  23:59","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-iggz625aoa9MoR1769677327181-MrVapour.avif"
"1776069304-10","https://www.kikidrop.com/en/list","PHARMACIE AL HAYAT","Dar el hanan","35 mins","11.68 Km","08:00 -  13:00","4.8","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-jhhgy4osd9nK1B1725789641750-AlHayat.jpg"
